f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,f_bathrooms_text,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_stove,d_hdtv,d_tv,d_conditioning,d_soundsystem,d_refrigerator,d_shampoo,d_soap,d_oven,d_toiletries,d_speaker,d_fan,d_heating,d_breakfast,d_table,d_dishwasher,d_dryer,d_elevator,d_fitness,d_parking,d_garage,d_wifi,d_game,d_garden,d_gym,d_restaurant,d_bar,d_washer,d_barbeque,d_bbq,price,id,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,property_type,ln_price
Entire apartment,Entire home/apt,Entire/Apt,East Village,2 baths,8,NA,0,NA,30,4,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7851047,East Village,Manhattan,Entire home/apt,Entire apartment,5.991464547107982
Entire apartment,Entire home/apt,Entire/Apt,Gramercy,1 bath,5,75,5,0.08,30,3,1836,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,200,7853561,Gramercy,Manhattan,Entire home/apt,Entire apartment,5.298317366548036
Entire apartment,Entire home/apt,Entire/Apt,Midtown,1 bath,3,86,261,4.02,1,1,1947,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,88,7857185,Midtown,Manhattan,Entire home/apt,Entire apartment,4.477336814478207
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,4,100,9,0.17,30,1,1608,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,400,7858023,East Village,Manhattan,Entire home/apt,Entire apartment,5.991464547107982
Private room in apartment,Private room,Private,Gramercy,1 bath,2,80,3,0.05,30,1,1919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,7858096,Gramercy,Manhattan,Private room,Private room in apartment,4.465908118654584
Private room in apartment,Private room,Private,Hell's Kitchen,1 shared bath,2,98,357,5.57,1,1,1923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7858468,Hell's Kitchen,Manhattan,Private room,Private room in apartment,4.605170185988092
Entire apartment,Entire home/apt,Entire/Apt,Midtown,1 bath,5,77,7,0.11,30,2,1922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,7858824,Midtown,Manhattan,Entire home/apt,Entire apartment,5.700443573390687
Private room in apartment,Private room,Private,Upper East Side,1 shared bath,2,96,174,2.72,1,1,1917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,7860155,Upper East Side,Manhattan,Private room,Private room in apartment,4.31748811353631
Private room in apartment,Private room,Private,Chelsea,1 shared bath,2,90,4,0.25,30,1,479,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,7863289,Chelsea,Manhattan,Private room,Private room in apartment,4.59511985013459
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,6,80,2,0.03,30,3,1936,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,7864877,Harlem,Manhattan,Entire home/apt,Entire apartment,5.480638923341991
Entire apartment,Entire home/apt,Entire/Apt,Kips Bay,1 bath,2,100,1,0.02,30,2,1940,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,7867805,Kips Bay,Manhattan,Entire home/apt,Entire apartment,4.204692619390966
Entire apartment,Entire home/apt,Entire/Apt,Morningside Heights,1 bath,1,100,2,0.03,30,1,1804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,7870442,Morningside Heights,Manhattan,Entire home/apt,Entire apartment,4.564348191467836
Entire apartment,Entire home/apt,Entire/Apt,Washington Heights,1 bath,6,100,2,0.03,30,3,1936,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,7872617,Washington Heights,Manhattan,Entire home/apt,Entire apartment,5.41610040220442
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,3,100,1,0.02,30,1,1922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,7873524,Harlem,Manhattan,Entire home/apt,Entire apartment,4.867534450455582
Entire apartment,Entire home/apt,Entire/Apt,Midtown,1 bath,2,100,1,0.02,30,1,1624,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175,7880998,Midtown,Manhattan,Entire home/apt,Entire apartment,5.1647859739235145
Entire apartment,Entire home/apt,Entire/Apt,Chelsea,1 bath,3,100,2,0.04,30,1,1678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,7884922,Chelsea,Manhattan,Entire home/apt,Entire apartment,5.680172609017068
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,1,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7894084,Upper East Side,Manhattan,Entire home/apt,Entire apartment,4.605170185988092
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,96,25,0.4,30,1,1896,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,7894907,East Village,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,Hell's Kitchen,1 bath,2,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,7895157,Hell's Kitchen,Manhattan,Entire home/apt,Entire apartment,5.1647859739235145
Private room in apartment,Private room,Private,Upper West Side,1 bath,1,95,8,0.13,1,1,1917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,180,7897229,Upper West Side,Manhattan,Private room,Private room in apartment,5.19295685089021
Entire apartment,Entire home/apt,Entire/Apt,Theater District,1 bath,2,90,5,0.08,30,1,1922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,7900437,Theater District,Manhattan,Entire home/apt,Entire apartment,4.812184355372417
Entire apartment,Entire home/apt,Entire/Apt,West Village,1 bath,2,96,11,0.18,2,1,1875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,150,7900575,West Village,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Private room in apartment,Private room,Private,Harlem,2 baths,2,90,2,0.03,30,1,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,7901715,Harlem,Manhattan,Private room,Private room in apartment,4.0943445622221
Private room in apartment,Private room,Private,Lower East Side,1 bath,2,60,1,0.02,30,1,1924,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7902291,Lower East Side,Manhattan,Private room,Private room in apartment,3.912023005428146
Private room in apartment,Private room,Private,Financial District,1.5 shared baths,2,94,126,1.96,30,0,1926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,7902556,Financial District,Manhattan,Private room,Private room in apartment,4.820281565605037
Private room in apartment,Private room,Private,Lower East Side,1 bath,2,93,3,0.05,4,1,1928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,7911249,Lower East Side,Manhattan,Private room,Private room in apartment,4.382026634673881
Private room in apartment,Private room,Private,Harlem,1 bath,2,93,3,0.05,30,1,1656,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7913704,Harlem,Manhattan,Private room,Private room in apartment,3.8066624897703196
Private room in apartment,Private room,Private,East Village,1 bath,1,91,10,0.19,5,1,1587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,7914401,East Village,Manhattan,Private room,Private room in apartment,4.1588830833596715
Private room in apartment,Private room,Private,Hell's Kitchen,1 bath,2,93,3,0.05,30,1,1923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,7916684,Hell's Kitchen,Manhattan,Private room,Private room in apartment,5.075173815233827
Private room in apartment,Private room,Private,Hell's Kitchen,1 bath,2,100,1,0.02,30,1,1922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,7916802,Hell's Kitchen,Manhattan,Private room,Private room in apartment,4.787491742782046
Private room in apartment,Private room,Private,East Village,1 shared bath,2,99,138,2.17,30,1,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135,7920072,East Village,Manhattan,Private room,Private room in apartment,4.90527477843843
